dev_type,id_position,symbol,cmd,opcode,arg1,arg2,data_out_bits,ext_data_out_bits,additional_data_cnt,additional_data_in
GPU,cmd,pcie_link_speed,Passthrough,0x21,0x00,0x00,2:0,,0,
GPU,cmd,pcie_link_width,Passthrough,0x21,0x00,0x00,6:4,,0,
GPU,cmd,pcie_non_fatal_error_count,Passthrough,0x21,0x00,0x00,15:8,,0,
GPU,cmd,pcie_fatal_error_count,Passthrough,0x21,0x00,0x00,23:16,,0,
GPU,cmd,pcie_unsupported_request_count,Passthrough,0x21,0x00,0x00,31:24,,0,
GPU,cmd,pcie_L0_to_recovery_count,Passthrough,0x21,0x01,0x00,31:0,,0,
GPU,cmd,pcie_replay_rollover_count,Passthrough,0x21,0x02,0x00,15:0,,0,
GPU,cmd,pcie_NAKs_received_count,Passthrough,0x21,0x02,0x00,31:16,,0,
GPU,cmd,pcie_correctable_error_count,Passthrough,0x21,0x00,0x00,,15:0,0,
GPU,cmd,pcie_replay_count,Passthrough,0x21,0x01,0x00,,31:0,0,
GPU,cmd,pcie_NAKs_sent_count,Passthrough,0x21,0x02,0x00,,15:0,0,
GPU,cmd,pcie_raw_page_0_data,Passthrough,0x21,0x00,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_1_data,Passthrough,0x21,0x01,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_2_data,Passthrough,0x21,0x02,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_0_extdata,Passthrough,0x21,0x00,0x00,,31:0,0,
GPU,cmd,pcie_raw_page_1_extdata,Passthrough,0x21,0x01,0x00,,31:0,0,
GPU,cmd,pcie_raw_page_2_extdata,Passthrough,0x21,0x02,0x00,,31:0,0,
NVSwitch,cmd,pcie_link_speed,PassthroughNvswitch,0x21,0x00,0x00,2:0,,0,
NVSwitch,cmd,pcie_link_width,PassthroughNvswitch,0x21,0x00,0x00,6:4,,0,
NVSwitch,cmd,pcie_non_fatal_error_count,PassthroughNvswitch,0x21,0x00,0x00,15:8,,0,
NVSwitch,cmd,pcie_fatal_error_count,PassthroughNvswitch,0x21,0x00,0x00,23:16,,0,
NVSwitch,cmd,pcie_unsupported_request_count,PassthroughNvswitch,0x21,0x00,0x00,31:24,,0,
NVSwitch,cmd,pcie_L0_to_recovery_count,PassthroughNvswitch,0x21,0x01,0x00,31:0,,0,
NVSwitch,cmd,pcie_replay_rollover_count,PassthroughNvswitch,0x21,0x02,0x00,15:0,,0,
NVSwitch,cmd,pcie_NAKs_received_count,PassthroughNvswitch,0x21,0x02,0x00,31:16,,0,
NVSwitch,cmd,pcie_correctable_error_count,PassthroughNvswitch,0x21,0x00,0x00,,15:0,0,
NVSwitch,cmd,pcie_replay_count,PassthroughNvswitch,0x21,0x01,0x00,,31:0,0,
NVSwitch,cmd,pcie_NAKs_sent_count,PassthroughNvswitch,0x21,0x02,0x00,,15:0,0,
NVSwitch,cmd,pcie_raw_page_0_data,PassthroughNvswitch,0x21,0x00,0x00,31:0,,0,
NVSwitch,cmd,pcie_raw_page_1_data,PassthroughNvswitch,0x21,0x01,0x00,31:0,,0,
NVSwitch,cmd,pcie_raw_page_2_data,PassthroughNvswitch,0x21,0x02,0x00,31:0,,0,
NVSwitch,cmd,pcie_raw_page_0_extdata,PassthroughNvswitch,0x21,0x00,0x00,,31:0,0,
NVSwitch,cmd,pcie_raw_page_1_extdata,PassthroughNvswitch,0x21,0x01,0x00,,31:0,0,
NVSwitch,cmd,pcie_raw_page_2_extdata,PassthroughNvswitch,0x21,0x02,0x00,,31:0,0,
FPGA,cmd,pcie_link_speed,PassthroughFpga,0x21,0x80,0x00,2:0,,0,
FPGA,cmd,pcie_link_width,PassthroughFpga,0x21,0x80,0x00,6:4,,0,
FPGA,cmd,pcie_non_fatal_error_count,PassthroughFpga,0x21,0x80,0x00,15:8,,0,
FPGA,cmd,pcie_fatal_error_count,PassthroughFpga,0x21,0x80,0x00,23:16,,0,
FPGA,cmd,pcie_unsupported_request_count,PassthroughFpga,0x21,0x80,0x00,31:24,,0,
FPGA,cmd,pcie_L0_to_recovery_count,PassthroughFpga,0x21,0x81,0x00,31:0,,0,
FPGA,cmd,pcie_replay_rollover_count,PassthroughFpga,0x21,0x82,0x00,15:0,,0,
FPGA,cmd,pcie_reserved,PassthroughFpga,0x21,0x82,0x00,31:16,,0,
FPGA,cmd,pcie_requested_link_speed,PassthroughFpga,0x21,0x83,0x00,2:0,,0,
FPGA,cmd,pcie_receiver_detect_status,PassthroughFpga,0x21,0x83,0x00,31:16,,0,
FPGA,cmd,pcie_TX_throughput,PassthroughFpga,0x21,0x84,0x00,31:0,,0,
FPGA,cmd,pcie_uncorrectable_error_bitmap,PassthroughFpga,0x21,0x85,0x00,31:0,,0,
FPGA,cmd,pcie_uncorrectable_error_data_link_protocol,PassthroughFpga,0x21,0x85,0x00,4:4,,0,
FPGA,cmd,pcie_uncorrectable_error_surprise_down,PassthroughFpga,0x21,0x85,0x00,5:5,,0,
FPGA,cmd,pcie_uncorrectable_error_poisoned_TLP,PassthroughFpga,0x21,0x85,0x00,12:12,,0,
FPGA,cmd,pcie_uncorrectable_error_flow_control_protocol,PassthroughFpga,0x21,0x85,0x00,13:13,,0,
FPGA,cmd,pcie_uncorrectable_error_completion_timeout,PassthroughFpga,0x21,0x85,0x00,14:14,,0,
FPGA,cmd,pcie_uncorrectable_error_completer_abort,PassthroughFpga,0x21,0x85,0x00,15:15,,0,
FPGA,cmd,pcie_uncorrectable_error_unexpected_completion,PassthroughFpga,0x21,0x85,0x00,16:16,,0,
FPGA,cmd,pcie_uncorrectable_error_receiver_overflow,PassthroughFpga,0x21,0x85,0x00,17:17,,0,
FPGA,cmd,pcie_uncorrectable_error_malformed_TLP,PassthroughFpga,0x21,0x85,0x00,18:18,,0,
FPGA,cmd,pcie_uncorrectable_error_ECRC,PassthroughFpga,0x21,0x85,0x00,19:19,,0,
FPGA,cmd,pcie_uncorrectable_error_unsupported_request,PassthroughFpga,0x21,0x85,0x00,20:20,,0,
FPGA,cmd,pcie_uncorrectable_error_ACS_violation,PassthroughFpga,0x21,0x85,0x00,21:21,,0,
FPGA,cmd,pcie_uncorrectable_error_internal,PassthroughFpga,0x21,0x85,0x00,22:22,,0,
FPGA,cmd,pcie_uncorrectable_error_MC_blocked_TLP,PassthroughFpga,0x21,0x85,0x00,23:23,,0,
FPGA,cmd,pcie_uncorrectable_error_atomic_egress_blocked,PassthroughFpga,0x21,0x85,0x00,24:24,,0,
FPGA,cmd,pcie_uncorrectable_error_TLP_prefix_blocked,PassthroughFpga,0x21,0x85,0x00,25:25,,0,
FPGA,cmd,pcie_uncorrectable_error_poisoned_TLP_egress_blocked,PassthroughFpga,0x21,0x85,0x00,26:26,,0,
FPGA,cmd,pcie_LTSSM_state,PassthroughFpga,0x21,0x86,0x00,31:0,,0,
FPGA,cmd,pcie_recovery_count,PassthroughFpga,0x21,0x87,0x00,31:0,,0,
FPGA,cmd,pcie_TX_EQ_local_preset,PassthroughFpga,0x21,0x88,0x00,3:0,,0,
FPGA,cmd,pcie_TX_EQ_local_use_preset,PassthroughFpga,0x21,0x88,0x00,4:4,,0,
FPGA,cmd,pcie_TX_EQ_local_FS,PassthroughFpga,0x21,0x88,0x00,10:5,,0,
FPGA,cmd,pcie_TX_EQ_local_LS,PassthroughFpga,0x21,0x88,0x00,16:11,,0,
FPGA,cmd,pcie_RX_EQ_remote_preset,PassthroughFpga,0x21,0x89,0x00,3:0,,0,
FPGA,cmd,pcie_RX_EQ_remote_use_preset,PassthroughFpga,0x21,0x89,0x00,4:4,,0,
FPGA,cmd,pcie_RX_EQ_remote_FS,PassthroughFpga,0x21,0x89,0x00,10:5,,0,
FPGA,cmd,pcie_RX_EQ_remote_LF,PassthroughFpga,0x21,0x89,0x00,16:11,,0,
FPGA,cmd,pcie_correctable_error_count,PassthroughFpga,0x21,0x80,0x00,,15:0,0,
FPGA,cmd,pcie_replay_count,PassthroughFpga,0x21,0x81,0x00,,31:0,0,
FPGA,cmd,pcie_NAKs_sent_count,PassthroughFpga,0x21,0x82,0x00,,15:0,0,
FPGA,cmd,pcie_RX_throughput,PassthroughFpga,0x21,0x84,0x00,,31:0,0,
FPGA,cmd,pcie_correctable_error_receiver,PassthroughFpga,0x21,0x85,0x00,,0:0,0,
FPGA,cmd,pcie_correctable_error_bad_TLP,PassthroughFpga,0x21,0x85,0x00,,6:6,0,
FPGA,cmd,pcie_correctable_error_bad_DLLP,PassthroughFpga,0x21,0x85,0x00,,7:7,0,
FPGA,cmd,pcie_correctable_error_replay_num_rollover,PassthroughFpga,0x21,0x85,0x00,,8:8,0,
FPGA,cmd,pcie_correctable_error_replay_timer_timeout,PassthroughFpga,0x21,0x85,0x00,,12:12,0,
FPGA,cmd,pcie_correctable_error_advisory_non_fatal,PassthroughFpga,0x21,0x85,0x00,,13:13,0,
FPGA,cmd,pcie_correctable_error_corrected_internal,PassthroughFpga,0x21,0x85,0x00,,14:14,0,
FPGA,cmd,pcie_correctable_error_header_log_overflow,PassthroughFpga,0x21,0x85,0x00,,15:15,0,
FPGA,cmd,pcie_recovery_reason,PassthroughFpga,0x21,0x87,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_0_data,PassthroughFpga,0x21,0x80,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_1_data,PassthroughFpga,0x21,0x81,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_2_data,PassthroughFpga,0x21,0x82,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_3_data,PassthroughFpga,0x21,0x83,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_4_data,PassthroughFpga,0x21,0x84,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_5_data,PassthroughFpga,0x21,0x85,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_6_data,PassthroughFpga,0x21,0x86,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_7_data,PassthroughFpga,0x21,0x87,0x00,31:0,,0,
FPGA,cmd,pcie_raw_page_0_extdata,PassthroughFpga,0x21,0x80,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_1_extdata,PassthroughFpga,0x21,0x81,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_2_extdata,PassthroughFpga,0x21,0x82,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_3_extdata,PassthroughFpga,0x21,0x83,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_4_extdata,PassthroughFpga,0x21,0x84,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_5_extdata,PassthroughFpga,0x21,0x85,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_6_extdata,PassthroughFpga,0x21,0x86,0x00,,31:0,0,
FPGA,cmd,pcie_raw_page_7_extdata,PassthroughFpga,0x21,0x87,0x00,,31:0,0,
PCIeRetimer,arg2,pcie_link_speed,PassthroughFpga,0x21,0x90,0x00,2:0,,0,
PCIeRetimer,arg2,pcie_link_width,PassthroughFpga,0x21,0x90,0x00,6:4,,0,
PCIeRetimer,arg2,pcie_non_fatal_error_count,PassthroughFpga,0x21,0x90,0x00,15:8,,0,
PCIeRetimer,arg2,pcie_fatal_error_count,PassthroughFpga,0x21,0x90,0x00,23:16,,0,
PCIeRetimer,arg2,pcie_unsupported_request_count,PassthroughFpga,0x21,0x90,0x00,31:24,,0,
PCIeRetimer,arg2,pcie_L0_to_recovery_count,PassthroughFpga,0x21,0x91,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_replay_rollover_count,PassthroughFpga,0x21,0x92,0x00,15:0,,0,
PCIeRetimer,arg2,pcie_reserved,PassthroughFpga,0x21,0x92,0x00,31:16,,0,
PCIeRetimer,arg2,pcie_requested_link_speed,PassthroughFpga,0x21,0x93,0x00,2:0,,0,
PCIeRetimer,arg2,pcie_receiver_detect_status,PassthroughFpga,0x21,0x93,0x00,31:16,,0,
PCIeRetimer,arg2,pcie_TX_throughput,PassthroughFpga,0x21,0x94,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_bitmap,PassthroughFpga,0x21,0x95,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_data_link_protocol,PassthroughFpga,0x21,0x95,0x00,4:4,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_surprise_down,PassthroughFpga,0x21,0x95,0x00,5:5,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_poisoned_TLP,PassthroughFpga,0x21,0x95,0x00,12:12,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_flow_control_protocol,PassthroughFpga,0x21,0x95,0x00,13:13,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_completion_timeout,PassthroughFpga,0x21,0x95,0x00,14:14,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_completer_abort,PassthroughFpga,0x21,0x95,0x00,15:15,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_unexpected_completion,PassthroughFpga,0x21,0x95,0x00,16:16,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_receiver_overflow,PassthroughFpga,0x21,0x95,0x00,17:17,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_malformed_TLP,PassthroughFpga,0x21,0x95,0x00,18:18,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_ECRC,PassthroughFpga,0x21,0x95,0x00,19:19,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_unsupported_request,PassthroughFpga,0x21,0x95,0x00,20:20,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_ACS_violation,PassthroughFpga,0x21,0x95,0x00,21:21,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_internal,PassthroughFpga,0x21,0x95,0x00,22:22,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_MC_blocked_TLP,PassthroughFpga,0x21,0x95,0x00,23:23,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_atomic_egress_blocked,PassthroughFpga,0x21,0x95,0x00,24:24,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_TLP_prefix_blocked,PassthroughFpga,0x21,0x95,0x00,25:25,,0,
PCIeRetimer,arg2,pcie_uncorrectable_error_poisoned_TLP_egress_blocked,PassthroughFpga,0x21,0x95,0x00,26:26,,0,
PCIeRetimer,arg2,pcie_LTSSM_state,PassthroughFpga,0x21,0x96,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_recovery_count,PassthroughFpga,0x21,0x97,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_preset,PassthroughFpga,0x21,0x98,0x00,3:0,,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_use_preset,PassthroughFpga,0x21,0x98,0x00,4:4,,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_FS,PassthroughFpga,0x21,0x98,0x00,10:5,,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_LS,PassthroughFpga,0x21,0x98,0x00,16:11,,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_preset,PassthroughFpga,0x21,0x99,0x00,3:0,,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_use_preset,PassthroughFpga,0x21,0x99,0x00,4:4,,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_FS,PassthroughFpga,0x21,0x99,0x00,10:5,,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_LF,PassthroughFpga,0x21,0x99,0x00,16:11,,0,
PCIeRetimer,arg2,pcie_correctable_error_count,PassthroughFpga,0x21,0x90,0x00,,15:0,0,
PCIeRetimer,arg2,pcie_replay_count,PassthroughFpga,0x21,0x91,0x00,,31:0,0,
PCIeRetimer,arg2,pcie_NAKs_sent_count,PassthroughFpga,0x21,0x92,0x00,,15:0,0,
PCIeRetimer,arg2,pcie_RX_throughput,PassthroughFpga,0x21,0x94,0x00,,31:0,0,
PCIeRetimer,arg2,pcie_correctable_error_receiver,PassthroughFpga,0x21,0x95,0x00,,0:0,0,
PCIeRetimer,arg2,pcie_correctable_error_bad_TLP,PassthroughFpga,0x21,0x95,0x00,,6:6,0,
PCIeRetimer,arg2,pcie_correctable_error_bad_DLLP,PassthroughFpga,0x21,0x95,0x00,,7:7,0,
PCIeRetimer,arg2,pcie_correctable_error_replay_num_rollover,PassthroughFpga,0x21,0x95,0x00,,8:8,0,
PCIeRetimer,arg2,pcie_correctable_error_replay_timer_timeout,PassthroughFpga,0x21,0x95,0x00,,12:12,0,
PCIeRetimer,arg2,pcie_correctable_error_advisory_non_fatal,PassthroughFpga,0x21,0x95,0x00,,13:13,0,
PCIeRetimer,arg2,pcie_correctable_error_corrected_internal,PassthroughFpga,0x21,0x95,0x00,,14:14,0,
PCIeRetimer,arg2,pcie_correctable_error_header_log_overflow,PassthroughFpga,0x21,0x95,0x00,,15:15,0,
PCIeRetimer,arg2,pcie_recovery_reason,PassthroughFpga,0x21,0x97,0x00,,31:0,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_pre_cursor,PassthroughFpga,0x21,0x98,0x00,,5:0,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_main_cursor,PassthroughFpga,0x21,0x98,0x00,,11:6,0,
PCIeRetimer,arg2,pcie_TX_EQ_local_post_cursor,PassthroughFpga,0x21,0x98,0x00,,17:12,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_pre_cursor,PassthroughFpga,0x21,0x99,0x00,,5:0,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_main_cursor,PassthroughFpga,0x21,0x99,0x00,,11:6,0,
PCIeRetimer,arg2,pcie_RX_EQ_remote_post_cursor,PassthroughFpga,0x21,0x99,0x00,,17:12,0,
PCIeRetimer,arg2,pcie_raw_page_0_data,PassthroughFpga,0x21,0x90,0x00,31:0,,0,
PCIeRetimer,arg2,pcie_raw_page_1_data,PassthroughFpga,0x21,0x91,0x00,31:0,,0,
